"URL","DATETIME","OONI_URL","FIRST307HEADERS"
"http://www.vpntunnel.se","2017-11-24 03:29:30","https://api.ooni.io/files/download/2017-11-25/20171124T025957Z-EG-AS36935-web_connectivity-20171124T025958Z_AS36935_GgIM3njx9htXcKaApgfrLpBuG2IcRqnI0SIt53gkGAN5XMxkeT-0.2.0-probe.json","Server: nginx
Date: Fri, 24 Nov 2017 03:29:33 GMT
Location: https://vpntunnel.com/
Content-Type: text/html"
"http://www.copticpope.org","2017-08-28 14:19:39","https://api.ooni.io/files/download/2017-08-29/20170828T140903Z-EG-AS8452-web_connectivity-20170828T140925Z_AS8452_YTE6t0dYrw7yIBAadGctAQ9a97hcI3FXfhfSj7yJPDcGg0QNF5-0.2.0-probe.json","Location: http://static.dbmads.com/static.html"
"http://reliefweb.int/","2017-12-31 08:53:22","https://api.ooni.io/files/download/2018-01-01/20171231T073720Z-EG-AS20928-web_connectivity-20171231T073721Z_AS20928_0X3Shj0uAGocqOSdIIuNUmRtejjBb674pjiikM9OjO0WSC9pWa-0.2.0-probe.json","X-Varnish-TTL: 0.000
X-Content-Options: nosniff
Content-Type: text/html
X-XSS-Protection: 1; mode=block
Server: nginx
Via: 1.1 varnish-v4
Set-Cookie: __bm-hap_hKBcutrqRn9rEZDW=S1; path=/; HttpOnly; Secure
Location: https://reliefweb.int/
Age: 0
Cache-Control: no-cache, no-store, must-revalidate
X-Varnish: 145994370
Date: Sun, 31 Dec 2017 08:53:24 GMT
X-Varnish-Server: rwint-varnish"
"https://www.amnesty.org/","2017-12-31 11:20:32","https://api.ooni.io/files/download/2018-01-01/20171231T073720Z-EG-AS20928-web_connectivity-20171231T073721Z_AS20928_0X3Shj0uAGocqOSdIIuNUmRtejjBb674pjiikM9OjO0WSC9pWa-0.2.0-probe.json","Access-Control-Allow-Origin: *
X-XSS-Protection: 1; mode=block
Strict-Transport-Security: max-age=15768000
Content-Type: text/html; charset=UTF-8
Server: Microsoft-IIS/10.0
X-UA-Compatible: IE=Edge,chrome=1
Date: Sun, 31 Dec 2017 11:20:33 GMT
Set-Cookie: ARRAffinity=a96167f52c61bd304d7412a6e5d00edca25241f6cc950684909c9162b784055b;Path=/;HttpOnly;Domain=www.amnesty.org
Location: https://www.amnesty.org/en/"
"https://www.amnesty.org/","2017-12-31 11:20:32","https://api.ooni.io/files/download/2018-01-01/20171231T073720Z-EG-AS20928-web_connectivity-20171231T073721Z_AS20928_0X3Shj0uAGocqOSdIIuNUmRtejjBb674pjiikM9OjO0WSC9pWa-0.2.0-probe.json","Access-Control-Allow-Origin: *
X-XSS-Protection: 1; mode=block
Strict-Transport-Security: max-age=15768000
Content-Type: text/html; charset=UTF-8
Server: Microsoft-IIS/10.0
X-UA-Compatible: IE=Edge,chrome=1
Date: Sun, 31 Dec 2017 11:20:33 GMT
Set-Cookie: ARRAffinity=a96167f52c61bd304d7412a6e5d00edca25241f6cc950684909c9162b784055b;Path=/;HttpOnly;Domain=www.amnesty.org
Location: https://www.amnesty.org/en/"
"https://www.amnesty.org/","2017-12-31 11:20:32","https://api.ooni.io/files/download/2018-01-01/20171231T073720Z-EG-AS20928-web_connectivity-20171231T073721Z_AS20928_0X3Shj0uAGocqOSdIIuNUmRtejjBb674pjiikM9OjO0WSC9pWa-0.2.0-probe.json","Access-Control-Allow-Origin: *
X-XSS-Protection: 1; mode=block
Strict-Transport-Security: max-age=15768000
Content-Type: text/html; charset=UTF-8
Server: Microsoft-IIS/10.0
X-UA-Compatible: IE=Edge,chrome=1
Date: Sun, 31 Dec 2017 11:20:33 GMT
Set-Cookie: ARRAffinity=a96167f52c61bd304d7412a6e5d00edca25241f6cc950684909c9162b784055b;Path=/;HttpOnly;Domain=www.amnesty.org
Location: https://www.amnesty.org/en/"
"http://www.blizzard.com","2017-12-31 12:31:47","https://api.ooni.io/files/download/2018-01-01/20171231T073720Z-EG-AS20928-web_connectivity-20171231T073721Z_AS20928_0X3Shj0uAGocqOSdIIuNUmRtejjBb674pjiikM9OjO0WSC9pWa-0.2.0-probe.json","Server: nginx/1.13.3
Date: Sun, 31 Dec 2017 12:31:59 GMT
Location: https://www.blizzard.com/
Content-Type: text/html"
"http://www.vpntunnel.se","2017-11-17 02:33:18","https://api.ooni.io/files/download/2017-11-18/20171117T020608Z-EG-AS36935-web_connectivity-20171117T020611Z_AS36935_bAOfhhGhqk6L3TtaXJo2W0OFKDaiLA9ap9lpzS3ajVxNf4lHNa-0.2.0-probe.json","Server: nginx
Date: Fri, 17 Nov 2017 02:33:22 GMT
Location: https://vpntunnel.com/
Content-Type: text/html"
"https://www.amnesty.org/","2017-08-14 09:23:07","https://api.ooni.io/files/download/2017-08-15/20170814T085109Z-EG-AS8452-web_connectivity-20170814T085111Z_AS8452_VQ17N5YFfFkCZMSJPMcHMp2JqYRL8fQaa10bcos4jI1MlwDQ5J-0.2.0-probe.json","Access-Control-Allow-Origin: *
X-XSS-Protection: 1; mode=block
Strict-Transport-Security: max-age=15768000
Content-Type: text/html; charset=UTF-8
Server: Microsoft-IIS/8.0
X-UA-Compatible: IE=Edge,chrome=1
Date: Mon, 14 Aug 2017 09:23:06 GMT
Set-Cookie: ARRAffinity=a96167f52c61bd304d7412a6e5d00edca25241f6cc950684909c9162b784055b;Path=/;HttpOnly;Domain=www.amnesty.org
Location: https://www.amnesty.org/en/"
"http://www.babylon-x.com","2017-08-14 09:24:56","https://api.ooni.io/files/download/2017-08-15/20170814T085109Z-EG-AS8452-web_connectivity-20170814T085111Z_AS8452_VQ17N5YFfFkCZMSJPMcHMp2JqYRL8fQaa10bcos4jI1MlwDQ5J-0.2.0-probe.json","Location: http://static.dbmads.com/static.html"
